path,label,group,clip,split
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\ApplyEyeMakeup\v_ApplyEyeMakeup_g01_c01.avi,ApplyEyeMakeup,1,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g02_c03.avi,ApplyEyeMakeup,2,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyEyeMakeup\v_ApplyEyeMakeup_g03_c01.avi,ApplyEyeMakeup,3,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyEyeMakeup\v_ApplyEyeMakeup_g03_c03.avi,ApplyEyeMakeup,3,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyEyeMakeup\v_ApplyEyeMakeup_g03_c05.avi,ApplyEyeMakeup,3,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g04_c07.avi,ApplyEyeMakeup,4,7,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g05_c02.avi,ApplyEyeMakeup,5,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g05_c06.avi,ApplyEyeMakeup,5,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g06_c03.avi,ApplyEyeMakeup,6,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g07_c04.avi,ApplyEyeMakeup,7,4,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g07_c06.avi,ApplyEyeMakeup,7,6,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g08_c01.avi,ApplyEyeMakeup,8,1,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g09_c02.avi,ApplyEyeMakeup,9,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g09_c06.avi,ApplyEyeMakeup,9,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g10_c01.avi,ApplyEyeMakeup,10,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g10_c05.avi,ApplyEyeMakeup,10,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g11_c02.avi,ApplyEyeMakeup,11,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g11_c04.avi,ApplyEyeMakeup,11,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g12_c05.avi,ApplyEyeMakeup,12,5,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g13_c05.avi,ApplyEyeMakeup,13,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\ApplyEyeMakeup\v_ApplyEyeMakeup_g14_c05.avi,ApplyEyeMakeup,14,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g15_c06.avi,ApplyEyeMakeup,15,6,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g16_c03.avi,ApplyEyeMakeup,16,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g17_c04.avi,ApplyEyeMakeup,17,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g18_c01.avi,ApplyEyeMakeup,18,1,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g18_c03.avi,ApplyEyeMakeup,18,3,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g19_c02.avi,ApplyEyeMakeup,19,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\ApplyEyeMakeup\v_ApplyEyeMakeup_g20_c04.avi,ApplyEyeMakeup,20,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g21_c04.avi,ApplyEyeMakeup,21,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g22_c01.avi,ApplyEyeMakeup,22,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g22_c05.avi,ApplyEyeMakeup,22,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyEyeMakeup\v_ApplyEyeMakeup_g23_c02.avi,ApplyEyeMakeup,23,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyEyeMakeup\v_ApplyEyeMakeup_g23_c04.avi,ApplyEyeMakeup,23,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyEyeMakeup\v_ApplyEyeMakeup_g23_c06.avi,ApplyEyeMakeup,23,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g24_c02.avi,ApplyEyeMakeup,24,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g25_c01.avi,ApplyEyeMakeup,25,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g25_c03.avi,ApplyEyeMakeup,25,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g25_c05.avi,ApplyEyeMakeup,25,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g25_c07.avi,ApplyEyeMakeup,25,7,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g01_c02.avi,ApplyLipstick,1,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g01_c04.avi,ApplyLipstick,1,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g02_c01.avi,ApplyLipstick,2,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g02_c03.avi,ApplyLipstick,2,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g03_c01.avi,ApplyLipstick,3,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g03_c03.avi,ApplyLipstick,3,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g04_c01.avi,ApplyLipstick,4,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g04_c05.avi,ApplyLipstick,4,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g05_c02.avi,ApplyLipstick,5,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g06_c03.avi,ApplyLipstick,6,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g07_c02.avi,ApplyLipstick,7,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g08_c02.avi,ApplyLipstick,8,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g09_c04.avi,ApplyLipstick,9,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\ApplyLipstick\v_ApplyLipstick_g10_c04.avi,ApplyLipstick,10,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g11_c04.avi,ApplyLipstick,11,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g12_c04.avi,ApplyLipstick,12,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g13_c03.avi,ApplyLipstick,13,3,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyLipstick\v_ApplyLipstick_g14_c01.avi,ApplyLipstick,14,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyLipstick\v_ApplyLipstick_g14_c03.avi,ApplyLipstick,14,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g15_c03.avi,ApplyLipstick,15,3,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyLipstick\v_ApplyLipstick_g16_c02.avi,ApplyLipstick,16,2,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\ApplyLipstick\v_ApplyLipstick_g16_c04.avi,ApplyLipstick,16,4,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g17_c01.avi,ApplyLipstick,17,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g17_c03.avi,ApplyLipstick,17,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g18_c02.avi,ApplyLipstick,18,2,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g18_c04.avi,ApplyLipstick,18,4,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g19_c02.avi,ApplyLipstick,19,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g19_c04.avi,ApplyLipstick,19,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\ApplyLipstick\v_ApplyLipstick_g20_c04.avi,ApplyLipstick,20,4,gallery
