model,search effort,index recall@10,typical ms,slow-case ms (p95)
CLIP ViT-B/32,8,0.9631,0.0216,0.03
CLIP ViT-B/32,16,0.9961,0.0266,0.0351
CLIP ViT-B/32,32,0.9995,0.0394,0.0515
CLIP ViT-B/32,64,1.0,0.0646,0.0816
CLIP ViT-B/32,128,1.0,0.1204,0.1397
CLIP ViT-B/32,256,1.0,0.2546,0.2875
CLIP ViT-B/32,512,1.0,0.5274,0.6761
DINOv2 ViT-S/14,8,0.9606,0.0201,0.0257
DINOv2 ViT-S/14,16,0.9938,0.0257,0.0341
DINOv2 ViT-S/14,32,0.9973,0.0374,0.0465
DINOv2 ViT-S/14,64,0.9995,0.0607,0.0746
DINOv2 ViT-S/14,128,1.0,0.1122,0.1283
DINOv2 ViT-S/14,256,1.0,0.2417,0.276
DINOv2 ViT-S/14,512,1.0,0.5086,0.6521
VideoMAE base,8,0.9645,0.0255,0.0341
VideoMAE base,16,0.9882,0.0308,0.0401
VideoMAE base,32,0.9951,0.0424,0.0548
VideoMAE base,64,0.9983,0.0741,0.0895
VideoMAE base,128,0.9995,0.1422,0.1609
VideoMAE base,256,1.0,0.2834,0.3047
VideoMAE base,512,1.0,0.5651,0.7436
