,CLIP ViT-B/32,DINOv2 ViT-S/14,VideoMAE base,movement helped by
BodyWeightSquats,0.6,0.6275000000000001,1.0,0.37249999999999994
CleanAndJerk,0.845,0.8125,1.0,0.15500000000000003
BlowDryHair,0.655,0.71,0.86,0.15000000000000002
BrushingTeeth,0.8074999999999999,0.6975,0.9574999999999999,0.15000000000000002
HandStandPushups,0.8225,0.7825,0.9650000000000001,0.14250000000000007
BoxingSpeedBag,0.8275,0.8175000000000001,0.9650000000000001,0.13750000000000007
BreastStroke,0.75,0.6875,0.8800000000000001,0.13000000000000012
FrontCrawl,0.5900000000000001,0.79,0.9199999999999999,0.1299999999999999
GolfSwing,0.8825,0.86,1.0,0.11750000000000005
Haircut,0.8175000000000001,0.775,0.9349999999999999,0.11749999999999983
CricketShot,0.6475,0.735,0.85,0.11499999999999999
ApplyEyeMakeup,0.875,0.7224999999999999,0.9824999999999999,0.10749999999999993
Archery,0.725,0.8675,0.9625,0.09499999999999997
HammerThrow,0.775,0.93,1.0,0.06999999999999995
Drumming,0.93,0.9125,1.0,0.06999999999999995
HighJump,0.8550000000000001,0.9324999999999999,1.0,0.06750000000000012
Diving,0.9275,0.945,0.9949999999999999,0.04999999999999993
BoxingPunchingBag,0.9550000000000001,0.9324999999999999,1.0,0.04499999999999993
BaseballPitch,0.8550000000000001,0.8975,0.9400000000000001,0.04250000000000009
BalanceBeam,0.725,0.9099999999999999,0.9475,0.03750000000000009
Basketball,0.9425000000000001,0.8375,0.9775,0.03499999999999992
FrisbeeCatch,0.9675,0.9625,0.9974999999999999,0.029999999999999916
FieldHockeyPenalty,0.8275,0.885,0.9099999999999999,0.02499999999999991
FloorGymnastics,0.6075,0.7775000000000001,0.8,0.022499999999999964
BlowingCandles,0.9574999999999999,0.9775,1.0,0.022499999999999964
CricketBowling,0.6025,0.6625,0.6725,0.010000000000000009
Fencing,0.9175000000000001,0.9824999999999999,0.99,0.007500000000000062
BabyCrawling,0.9925,0.99,1.0,0.007499999999999951
Biking,0.985,0.9949999999999999,1.0,0.0050000000000001155
BandMarching,1.0,0.9824999999999999,1.0,0.0
CliffDiving,1.0,0.9650000000000001,1.0,0.0
Billiards,1.0,1.0,1.0,0.0
BasketballDunk,0.9925,1.0,1.0,0.0
BenchPress,0.8324999999999999,1.0,1.0,0.0
Bowling,1.0,0.9525,1.0,0.0
HeadMassage,1.0,0.9574999999999999,0.9974999999999999,-0.0025000000000000577
CuttingInKitchen,0.9974999999999999,1.0,0.99,-0.010000000000000009
HandstandWalking,0.51,0.4575,0.445,-0.065
ApplyLipstick,0.7075,0.9574999999999999,0.86,-0.09749999999999992
Hammering,0.675,0.7849999999999999,0.6775,-0.10749999999999993
